"","lower","upper","prob"
"1",0,0.000368819914618762,0
"2",0,0.000368819914618762,0
"3",0,0.000368819914618762,0
"4",0,0.000368819914618762,0
"5",0,0.000368819914618762,0
"6",0,0.000368819914618762,0
"7",0,0.000368819914618762,0
"8",0,0.000368819914618762,0
"9",0,0.000368819914618762,0
"10",0,0.000368819914618762,0
"11",0,0.000368819914618762,0
"12",6.1871485748387e-05,0.000876474522514001,3e-04
"13",0.000220220238657687,0.00130548648301116,6e-04
"14",0.000692371088575236,0.00222201362125901,0.0013
"15",0.00218979598407886,0.00451446850921614,0.0032
"16",0.00328416798674155,0.0060167711326174,0.0045
"17",0.00634845206349964,0.00994693888448661,0.008
"18",0.0110557290594848,0.0156342665036793,0.0132
"19",0.0198703825818095,0.0258120848520498,0.0227
"20",0.033290568235419,0.0407822402825166,0.0369
"21",0.048497623646849,0.057365099095839,0.0528
"22",0.0655583640892778,0.0756934904717513,0.0705
"23",0.0858214207020266,0.0972178327374257,0.0914
"24",0.110762473067341,0.123461523679311,0.117
"25",0.137565111996139,0.151442676036712,0.1444
"26",0.170547470118882,0.185640539986787,0.178
"27",0.203629543790191,0.219738754762223,0.2116
"28",0.24301953618144,0.260125408943183,0.2515
"29",0.283000928162578,0.300920409801635,0.2919
"30",0.322869215404403,0.341428657997321,0.3321
"31",0.364404824940231,0.38346866825019,0.3739
"32",0.404123192447159,0.423527040241789,0.4138
"33",0.445603429721478,0.465222558795658,0.4554
"34",0.483054436948582,0.502749700128946,0.4929
"35",0.520560649068547,0.540221637039777,0.5304
"36",0.560026979405427,0.579532346381538,0.5698
"37",0.597648372840209,0.616889094916675,0.6073
"38",0.631306827568229,0.650211107024677,0.6408
"39",0.664612352358593,0.683086273331512,0.6739
"40",0.695549538989455,0.713531166855732,0.7046
"41",0.724414241483543,0.741849757477747,0.7332
"42",0.74877312586094,0.765676782255483,0.7573
"43",0.773269493824752,0.789566249714214,0.7815
"44",0.796182969775513,0.811839527633067,0.8041
"45",0.81852662360994,0.833482957104855,0.8261
"46",0.83551628771699,0.849883468751271,0.8428
"47",0.852942346534089,0.866647327564116,0.8599
"48",0.869585061756832,0.882594973209038,0.8762
"49",0.883498712883369,0.895873251135636,0.8898
"50",0.895697266326006,0.907467607164275,0.9017
