PRISM Time Series Data
Location:  Lat: 41.6392   Lon: -81.2394   Elev: 1056ft
"Climate variables: ppt,tmean"
Spatial resolution: 800m
Period: 1994 - 2023
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2025-Nov-18
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmean (degrees F)
1994,39.13,47.5
1995,43.38,48.1
1996,61.13,47.1
1997,43.61,47.3
1998,37.68,51.7
1999,45.43,49.6
2000,45.48,48.6
2001,38.39,50.3
2002,40.33,50.2
2003,54.17,47.8
2004,46.02,48.6
2005,49.01,49.1
2006,58.51,50.3
2007,52.20,49.2
2008,56.75,48.0
2009,46.52,47.4
2010,46.97,49.0
2011,74.90,49.4
2012,47.54,51.1
2013,53.41,48.2
2014,52.24,46.2
2015,47.86,48.3
2016,49.14,50.6
2017,55.35,50.3
2018,56.19,49.2
2019,50.41,49.2
2020,54.82,50.3
2021,46.27,50.9
2022,51.00,49.2
2023,55.26,51.0
