PRISM Time Series Data
Location:  Lat: 41.6062   Lon: -81.2851   Elev: 906ft
"Climate variables: ppt,tmean"
Spatial resolution: 800m
Period: 1980 - 2023
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2025-Nov-18
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmean (degrees F)
1980,41.51,47.2
1981,46.78,48.1
1982,40.85,48.5
1983,41.91,49.5
1984,47.95,48.3
1985,48.99,48.6
1986,49.50,49.5
1987,44.44,50.2
1988,37.70,48.3
1989,46.41,47.3
1990,54.29,50.8
1991,33.00,51.1
1992,50.68,48.1
1993,44.61,48.4
1994,39.27,48.3
1995,43.33,48.9
1996,62.60,47.9
1997,43.33,48.0
1998,37.16,52.7
1999,45.94,50.5
2000,44.31,49.6
2001,39.54,51.4
2002,40.06,51.2
2003,54.31,48.7
2004,45.08,49.3
2005,48.16,49.9
2006,58.82,51.1
2007,52.24,50.0
2008,56.59,48.8
2009,46.74,48.0
2010,46.96,49.5
2011,72.60,50.0
2012,48.21,51.7
2013,52.50,48.8
2014,52.76,46.8
2015,48.25,48.8
2016,48.85,51.1
2017,56.87,50.7
2018,57.54,49.7
2019,49.43,49.7
2020,55.61,50.7
2021,47.51,51.4
2022,51.88,49.6
2023,55.91,51.4
